epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.1868908256292343,,0.9430500268936156,
2,0.0821373611688613,,0.975849986076355,
3,0.0627649873495101,,0.9811000227928162,
4,0.0523111708462238,,0.9843000173568726,
5,0.0451824553310871,,0.9863333106040956,
6,0.0356394238770008,,0.9887166619300842,
7,0.032659001648426,,0.9894166588783264,
8,0.0291971620172262,,0.989983320236206,
9,0.0298707522451877,,0.990833342075348,
10,0.0267055425792932,,0.9914000034332277,
11,0.022803857922554,,0.992900013923645,
12,0.0241836961358785,,0.9927499890327454,
13,0.0218466110527515,,0.992883324623108,
14,0.0205449759960174,,0.993483304977417,
15,0.0181973092257976,,0.9939333200454712,
16,0.0192755535244941,,0.9937166571617126,
17,0.0169664099812507,,0.994533360004425,
18,0.0182696506381034,,0.9940999746322632,
19,0.0182747822254896,,0.9944166541099548,
20,0.0145902251824736,,0.9954833388328552,
1,0.18794508278369904,,0.9424999952316284,
2,0.08182685077190399,,0.9761499762535095,
3,0.06310790032148361,,0.9801999926567078,
4,0.05242070555686951,,0.9836166501045227,
5,0.04385240375995636,,0.9864833354949951,
6,0.036589477211236954,,0.9885333180427551,
7,0.03423983231186867,,0.9897000193595886,
8,0.029516061767935753,,0.9905499815940857,
9,0.02850354090332985,,0.9909499883651733,
10,0.027209443971514702,,0.9909999966621399,
11,0.023328706622123718,,0.9928666949272156,
12,0.023948483169078827,,0.9925833344459534,
13,0.021698497235774994,,0.9930999875068665,
14,0.020136501640081406,,0.9931666851043701,
15,0.018660102039575577,,0.9938499927520752,
16,0.019129689782857895,,0.9940999746322632,
17,0.01806790567934513,,0.994533360004425,
18,0.018844623118638992,,0.9939000010490417,
19,0.0176110677421093,,0.9945999979972839,
20,0.015517812222242355,,0.9951333403587341,
