Partition,Accuracy
1,0.99
2,0.986
3,0.983
4,0.993
5,0.994
6,0.998
7,0.993
8,0.999
9,1.0
10,0.991
1,0.993
2,0.984
3,0.983
4,0.99
5,0.988
6,0.996
7,0.994
8,1.0
9,0.998
10,0.99
