epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.2113628089427948,,0.9356333613395692,
2,0.0966736376285553,,0.9714333415031432,
3,0.0713926777243614,,0.9787333607673644,
4,0.06112876906991,,0.9819499850273132,
5,0.0514555722475051,,0.9848666787147522,
6,0.045044720172882,,0.986133337020874,
7,0.0387645065784454,,0.9874833226203918,
8,0.034636951982975,,0.9887333512306212,
9,0.0302470698952674,,0.9901999831199646,
10,0.0302001778036355,,0.9905999898910522,
11,0.0271775126457214,,0.9912999868392944,
12,0.0270489566028118,,0.991599977016449,
13,0.0238371789455413,,0.9921333193778992,
14,0.0222548097372055,,0.9933666586875916,
15,0.0237121600657701,,0.9927833080291748,
16,0.0188591741025447,,0.9936333298683168,
17,0.0205800235271453,,0.9934499859809875,
18,0.0199233014136552,,0.9935666918754578,
19,0.0184133034199476,,0.9940500259399414,
20,0.0183097720146179,,0.9944000244140624,
1,0.1933121681213379,,0.9402666687965393,
2,0.08588864654302597,,0.9736499786376953,
3,0.06514520943164825,,0.9799333214759827,
4,0.054057925939559937,,0.9839000105857849,
5,0.04548923298716545,,0.986299991607666,
6,0.03939644619822502,,0.9879166483879089,
7,0.03382502496242523,,0.9890666604042053,
8,0.030315132811665535,,0.9902833104133606,
9,0.0296961460262537,,0.989983320236206,
10,0.026160230860114098,,0.9916666746139526,
11,0.02576180174946785,,0.9917166829109192,
12,0.02313583716750145,,0.9927166700363159,
13,0.02123233489692211,,0.9931833148002625,
14,0.023411979898810387,,0.9924499988555908,
15,0.019977038726210594,,0.9937166571617126,
16,0.017939047887921333,,0.9943833351135254,
17,0.019457148388028145,,0.9937499761581421,
18,0.01636972837150097,,0.9949666857719421,
19,0.018152005970478058,,0.9944833517074585,
20,0.01643899455666542,,0.9948499798774719,
