epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.0349244587123394,,0.9678500294685364,
2,0.0144616402685642,,0.9887499809265136,
1,0.0359985791146755,,0.9664666652679444,
2,0.0149085996672511,,0.9876166582107544,
3,0.0123245017603039,,0.9900833368301392,
4,0.0108943553641438,,0.9911500215530396,
5,0.01028648391366,,0.9919666647911072,
6,0.0102619230747222,,0.9918166399002076,
7,0.0093620438128709,,0.9926666617393494,
8,0.009181834757328,,0.993399977684021,
9,0.0091043310239911,,0.99316668510437,
10,0.0089736692607402,,0.9931833148002625,
11,0.008214303292334,,0.9936500191688538,
12,0.0084952739998698,,0.9936333298683168,
13,0.0081171747297048,,0.9940500259399414,
14,0.0077821328304708,,0.9941333532333374,
15,0.0075695998966693,,0.9944666624069214,
16,0.0068391463719308,,0.9950833320617676,
17,0.0069718989543616,,0.9951500296592712,
18,0.0072434698231518,,0.994966685771942,
19,0.0065057915635406,,0.9954166412353516,
20,0.006671424023807,,0.994949996471405,
1,0.0351230762898922,,0.9677333235740662,
2,0.0154965594410896,,0.9876999855041504,
3,0.0129188103601336,,0.9894333481788636,
4,0.0117597710341215,,0.9907666444778442,
5,0.01120360288769,,0.9916333556175232,
6,0.010843620635569,,0.9918500185012816,
7,0.0099991187453269,,0.992716670036316,
8,0.0104571608826518,,0.9923333525657654,
9,0.009632752276957,,0.9927499890327454,
10,0.0089810192584991,,0.9929166436195374,
11,0.0086103593930602,,0.9933000206947328,
12,0.0081471223384141,,0.9938166737556458,
13,0.0089689232409,,0.993066668510437,
14,0.0078595587983727,,0.9936166405677797,
15,0.0073204967193305,,0.994766652584076,
16,0.0069586690515279,,0.9947333335876464,
17,0.0068670003674924,,0.994883358478546,
18,0.0069848578423261,,0.995050013065338,
19,0.0063539110124111,,0.9951833486557008,
20,0.0061282687820494,,0.995116651058197,
1,0.03421400487422943,,0.9685999751091003,
2,0.014304527081549168,,0.9887499809265137,
3,0.012482644990086555,,0.9897666573524475,
4,0.010982749983668327,,0.9907833337783813,
5,0.009745690040290356,,0.9916333556175232,
6,0.009419978596270084,,0.9922166466712952,
7,0.008695784956216812,,0.992900013923645,
8,0.008947474882006645,,0.9922833442687988,
9,0.00743153365328908,,0.9937833547592163,
10,0.008133436553180218,,0.9928833246231079,
11,0.00723313819617033,,0.9940666556358337,
12,0.006929324008524418,,0.9936833381652832,
13,0.007132708560675383,,0.993399977684021,
14,0.007125364150851965,,0.9937833547592163,
15,0.00660670455545187,,0.9939666390419006,
16,0.005943147465586662,,0.9942833185195923,
17,0.0054326350800693035,,0.9950000047683716,
18,0.005537126678973436,,0.9945833086967468,
19,0.004909592680633068,,0.9953666925430298,
20,0.004921377636492252,,0.9952666759490967,
