epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.19096770882606506,,0.9421166777610779,
2,0.08046247065067291,,0.9762166738510132,
3,0.06398718059062958,,0.980650007724762,
4,0.05343911424279213,,0.9839333295822144,
5,0.04459059610962868,,0.9868000149726868,
6,0.03747508302330971,,0.9883166551589966,
7,0.03471239283680916,,0.9892666935920715,
8,0.031162595376372337,,0.9898499846458435,
9,0.027959460392594337,,0.9915666580200195,
10,0.025152266025543213,,0.9923999905586243,
11,0.025080963969230652,,0.9918500185012817,
12,0.021094486117362976,,0.993149995803833,
13,0.020543184131383896,,0.993316650390625,
14,0.019720766693353653,,0.9939000010490417,
15,0.018844999372959137,,0.9936500191688538,
16,0.018429582938551903,,0.9940833449363708,
17,0.01774834655225277,,0.9940000176429749,
18,0.017171774059534073,,0.9945166707038879,
19,0.01604483090341091,,0.9950000047683716,
20,0.0161715317517519,,0.9949833154678345,
